SystemCodeNumber,Timestamp,Occupancy,Capacity,OccupancyRate
BHMBCCMKT01,2016-10-04 08:25:00,64,577,0.11091854419410745
Others-CCCPS8,2016-10-04 08:59:00,518,1322,0.3918305597579425
BHMBCCTHL01,2016-10-04 08:59:00,155,387,0.4005167958656331
Others-CCCPS119a,2016-10-04 08:59:00,323,2803,0.11523367820192651
Shopping,2016-10-04 08:59:00,958,1920,0.49895833333333334
Others-CCCPS135a,2016-10-04 08:59:00,2007,3883,0.516868400721092
Broad Street,2016-10-04 08:59:00,415,690,0.6014492753623188
BHMNCPNST01,2016-10-04 08:59:00,278,485,0.5731958762886598
BHMEURBRD01,2016-10-04 08:59:00,269,470,0.5723404255319149
BHMMBMMBX01,2016-10-04 08:59:00,346,687,0.5036390101892285
BHMBCCMKT01,2016-10-04 08:59:00,80,577,0.1386481802426343
Others-CCCPS98,2016-10-04 08:59:00,792,3103,0.25523686754753466
BHMNCPHST01,2016-10-04 08:59:00,441,1200,0.3675
Others-CCCPS202,2016-10-04 08:59:00,848,2937,0.28872999659516513
Others-CCCPS105a,2016-10-04 08:59:00,864,2009,0.4300647088103534
BHMEURBRD01,2016-10-04 09:32:00,351,470,0.7468085106382979
BHMBCCTHL01,2016-10-04 09:32:00,204,387,0.5271317829457365
Others-CCCPS202,2016-10-04 09:32:00,1036,2937,0.35274089206673476
Others-CCCPS8,2016-10-04 09:32:00,590,1322,0.4462934947049924
Broad Street,2016-10-04 09:32:00,530,690,0.7681159420289855
Others-CCCPS98,2016-10-04 09:32:00,932,3103,0.30035449564937156
Others-CCCPS119a,2016-10-04 09:32:00,420,2803,0.14983945772386728
Others-CCCPS105a,2016-10-04 09:32:00,1004,2009,0.4997511199601792
BHMBCCMKT01,2016-10-04 09:32:00,107,577,0.1854419410745234
Shopping,2016-10-04 09:32:00,1121,1920,0.5838541666666667
Others-CCCPS135a,2016-10-04 09:32:00,2502,3883,0.6443471542621684
BHMMBMMBX01,2016-10-04 09:32:00,414,687,0.6026200873362445
BHMNCPHST01,2016-10-04 09:32:00,552,1200,0.46
BHMNCPNST01,2016-10-04 09:32:00,302,485,0.622680412371134
BHMNCPHST01,2016-10-04 09:59:00,638,1200,0.5316666666666666
Shopping,2016-10-04 09:59:00,1254,1920,0.653125
Others-CCCPS8,2016-10-04 09:59:00,657,1322,0.4969742813918306
BHMEURBRD01,2016-10-04 09:59:00,397,470,0.8446808510638298
Others-CCCPS98,2016-10-04 09:59:00,1052,3103,0.33902674830808893
Others-CCCPS119a,2016-10-04 09:59:00,476,2803,0.1698180520870496
BHMBCCTHL01,2016-10-04 09:59:00,236,387,0.6098191214470284
Others-CCCPS105a,2016-10-04 09:59:00,1142,2009,0.5684420109507218
Others-CCCPS202,2016-10-04 09:59:00,1163,2937,0.39598229485869935
Broad Street,2016-10-04 09:59:00,600,690,0.8695652173913043
BHMNCPNST01,2016-10-04 09:59:00,327,485,0.6742268041237114
BHMBCCMKT01,2016-10-04 09:59:00,150,577,0.25996533795493937
Others-CCCPS135a,2016-10-04 09:59:00,2802,3883,0.7216070048931239
BHMMBMMBX01,2016-10-04 09:59:00,485,687,0.7059679767103348
Others-CCCPS8,2016-10-04 10:26:00,715,1322,0.5408472012102874
BHMEURBRD01,2016-10-04 10:26:00,430,470,0.9148936170212766
Others-CCCPS98,2016-10-04 10:26:00,1142,3103,0.368030937802127
Broad Street,2016-10-04 10:26:00,642,690,0.9304347826086956
BHMBCCMKT01,2016-10-04 10:26:00,177,577,0.30675909878682844
Others-CCCPS105a,2016-10-04 10:26:00,1245,2009,0.6197112991538078
Others-CCCPS119a,2016-10-04 10:26:00,525,2803,0.1872993221548341
BHMNCPHST01,2016-10-04 10:26:00,686,1200,0.5716666666666667
Others-CCCPS202,2016-10-04 10:26:00,1257,2937,0.4279877425944842
Others-CCCPS135a,2016-10-04 10:26:00,3035,3883,0.7816121555498327
Shopping,2016-10-04 10:26:00,1324,1920,0.6895833333333333
BHMMBMMBX01,2016-10-04 10:26:00,530,687,0.7714701601164483
BHMNCPNST01,2016-10-04 10:26:00,351,485,0.7237113402061855
BHMBCCTHL01,2016-10-04 10:26:00,264,387,0.6821705426356589
Shopping,2016-10-04 10:59:00,1387,1920,0.7223958333333333
BHMNCPHST01,2016-10-04 10:59:00,729,1200,0.6075
Others-CCCPS202,2016-10-04 10:59:00,1354,2937,0.4610146407899217
Others-CCCPS98,2016-10-04 10:59:00,1210,3103,0.38994521430873347
Others-CCCPS135a,2016-10-04 10:59:00,3169,3883,0.816121555498326
BHMMBMMBX01,2016-10-04 10:59:00,573,687,0.834061135371179
Broad Street,2016-10-04 10:59:00,675,690,0.9782608695652174
BHMNCPNST01,2016-10-04 10:59:00,371,485,0.7649484536082474
Others-CCCPS8,2016-10-04 10:59:00,791,1322,0.5983358547655068
BHMBCCMKT01,2016-10-04 10:59:00,219,577,0.37954939341421146
BHMBCCTHL01,2016-10-04 10:59:00,308,387,0.7958656330749354
Others-CCCPS119a,2016-10-04 10:59:00,574,2803,0.20478059222261863
BHMEURBRD01,2016-10-04 10:59:00,458,470,0.9744680851063829
Others-CCCPS105a,2016-10-04 10:59:00,1364,2009,0.6789447486311598
Shopping,2016-10-04 11:25:00,1428,1920,0.74375
BHMNCPHST01,2016-10-04 11:25:00,765,1200,0.6375
BHMBCCMKT01,2016-10-04 11:25:00,247,577,0.42807625649913345
Others-CCCPS8,2016-10-04 11:25:00,820,1322,0.6202723146747352
Others-CCCPS202,2016-10-04 11:25:00,1369,2937,0.46612189308818525
Others-CCCPS105a,2016-10-04 11:25:00,1424,2009,0.7088103534096566
BHMEURBRD01,2016-10-04 11:25:00,464,470,0.9872340425531915
Others-CCCPS98,2016-10-04 11:25:00,1241,3103,0.3999355462455688
Others-CCCPS135a,2016-10-04 11:25:00,3221,3883,0.829513262941025
BHMMBMMBX01,2016-10-04 11:25:00,604,687,0.8791848617176128
Others-CCCPS119a,2016-10-04 11:25:00,588,2803,0.2097752408134142
BHMBCCTHL01,2016-10-04 11:25:00,324,387,0.8372093023255814
BHMNCPNST01,2016-10-04 11:25:00,373,485,0.7690721649484537
Broad Street,2016-10-04 11:25:00,672,690,0.9739130434782609
Others-CCCPS98,2016-10-04 11:59:00,1288,3103,0.41508217853689977
Others-CCCPS135a,2016-10-04 11:59:00,3248,3883,0.836466649497811
BHMBCCMKT01,2016-10-04 11:59:00,259,577,0.4488734835355286
Others-CCCPS202,2016-10-04 11:59:00,1390,2937,0.47327204630575415
Others-CCCPS119a,2016-10-04 11:59:00,605,2803,0.21584017124509455
BHMBCCTHL01,2016-10-04 11:59:00,332,387,0.8578811369509044
Others-CCCPS105a,2016-10-04 11:59:00,1470,2009,0.7317073170731707
Others-CCCPS8,2016-10-04 11:59:00,836,1322,0.632375189107413
Broad Street,2016-10-04 11:59:00,677,690,0.981159420289855
Shopping,2016-10-04 11:59:00,1447,1920,0.7536458333333333
BHMNCPNST01,2016-10-04 11:59:00,381,485,0.7855670103092783
BHMNCPHST01,2016-10-04 11:59:00,771,1200,0.6425
BHMMBMMBX01,2016-10-04 11:59:00,634,687,0.9228529839883551
BHMEURBRD01,2016-10-04 11:59:00,460,470,0.9787234042553191
Shopping,2016-10-04 12:29:00,1460,1920,0.7604166666666666
Others-CCCPS135a,2016-10-04 12:29:00,3251,3883,0.8372392480041205
BHMBCCMKT01,2016-10-04 12:29:00,266,577,0.4610051993067591
Others-CCCPS202,2016-10-04 12:29:00,1397,2937,0.4756554307116105
BHMNCPHST01,2016-10-04 12:29:00,779,1200,0.6491666666666667
Others-CCCPS105a,2016-10-04 12:29:00,1484,2009,0.7386759581881533
BHMEURBRD01,2016-10-04 12:29:00,464,470,0.9872340425531915
Others-CCCPS119a,2016-10-04 12:29:00,604,2803,0.21548341063146628
Broad Street,2016-10-04 12:29:00,683,690,0.9898550724637681
BHMBCCTHL01,2016-10-04 12:29:00,334,387,0.8630490956072352
BHMMBMMBX01,2016-10-04 12:29:00,648,687,0.9432314410480349
Others-CCCPS98,2016-10-04 12:29:00,1297,3103,0.41798259748630356
Others-CCCPS8,2016-10-04 12:29:00,836,1322,0.632375189107413
BHMNCPNST01,2016-10-04 12:29:00,379,485,0.7814432989690722
BHMNCPNST01,2016-10-04 12:56:00,374,485,0.7711340206185567
Shopping,2016-10-04 13:02:00,1448,1920,0.7541666666666667
Others-CCCPS8,2016-10-04 13:02:00,810,1322,0.6127080181543116
Others-CCCPS135a,2016-10-04 13:02:00,3232,3883,0.8323461241308266
BHMBCCMKT01,2016-10-04 13:02:00,269,577,0.4662045060658579
Others-CCCPS98,2016-10-04 13:02:00,1288,3103,0.41508217853689977
Broad Street,2016-10-04 13:02:00,660,690,0.9565217391304348
BHMBCCTHL01,2016-10-04 13:02:00,333,387,0.8604651162790697
Others-CCCPS105a,2016-10-04 13:02:00,1461,2009,0.7272274763563962
BHMEURBRD01,2016-10-04 13:02:00,458,470,0.9744680851063829
BHMMBMMBX01,2016-10-04 13:02:00,651,687,0.9475982532751092
Others-CCCPS202,2016-10-04 13:02:00,1367,2937,0.4654409261150834
BHMNCPHST01,2016-10-04 13:02:00,773,1200,0.6441666666666667
Others-CCCPS119a,2016-10-04 13:02:00,596,2803,0.21262932572244025
BHMMBMMBX01,2016-10-04 13:29:00,648,687,0.9432314410480349
BHMNCPNST01,2016-10-04 13:29:00,375,485,0.7731958762886598
BHMBCCMKT01,2016-10-04 13:29:00,263,577,0.4558058925476603
BHMNCPHST01,2016-10-04 13:29:00,758,1200,0.6316666666666667
Others-CCCPS119a,2016-10-04 13:29:00,581,2803,0.20727791651801641
BHMBCCTHL01,2016-10-04 13:29:00,331,387,0.8552971576227391
Shopping,2016-10-04 13:29:00,1432,1920,0.7458333333333333
BHMEURBRD01,2016-10-04 13:29:00,450,470,0.9574468085106383
Others-CCCPS135a,2016-10-04 13:29:00,3184,3883,0.8199845480298739
Others-CCCPS8,2016-10-04 13:29:00,811,1322,0.613464447806354
Others-CCCPS105a,2016-10-04 13:29:00,1459,2009,0.726231956197113
Broad Street,2016-10-04 13:29:00,648,690,0.9391304347826087
Others-CCCPS202,2016-10-04 13:29:00,1360,2937,0.4630575417092271
Others-CCCPS98,2016-10-04 13:29:00,1273,3103,0.4102481469545601
Others-CCCPS119a,2016-10-04 14:02:00,576,2803,0.20549411344987514
Others-CCCPS8,2016-10-04 14:02:00,815,1322,0.6164901664145235
BHMNCPHST01,2016-10-04 14:02:00,757,1200,0.6308333333333334
Others-CCCPS202,2016-10-04 14:02:00,1352,2937,0.4603336738168199
BHMNCPNST01,2016-10-04 14:02:00,381,485,0.7855670103092783
Others-CCCPS98,2016-10-04 14:02:00,1262,3103,0.40670319046084435
Others-CCCPS135a,2016-10-04 14:02:00,3145,3883,0.8099407674478496
BHMBCCMKT01,2016-10-04 14:02:00,238,577,0.4124783362218371
Broad Street,2016-10-04 14:02:00,639,690,0.9260869565217391
Shopping,2016-10-04 14:02:00,1430,1920,0.7447916666666666
Others-CCCPS105a,2016-10-04 14:02:00,1452,2009,0.7227476356396217
BHMBCCTHL01,2016-10-04 14:02:00,332,387,0.8578811369509044
BHMMBMMBX01,2016-10-04 14:02:00,637,687,0.9272197962154294
BHMEURBRD01,2016-10-04 14:02:00,446,470,0.948936170212766
BHMMBMMBX01,2016-10-04 14:29:00,627,687,0.9126637554585153
Others-CCCPS135a,2016-10-04 14:29:00,3113,3883,0.8016997167138811
Others-CCCPS202,2016-10-04 14:29:00,1318,2937,0.44875723527408923
Shopping,2016-10-04 14:29:00,1429,1920,0.7442708333333333
BHMBCCTHL01,2016-10-04 14:29:00,322,387,0.8320413436692506
BHMBCCMKT01,2016-10-04 14:29:00,215,577,0.37261698440207974
Others-CCCPS119a,2016-10-04 14:29:00,560,2803,0.19978594363182306
BHMEURBRD01,2016-10-04 14:29:00,433,470,0.9212765957446809
Others-CCCPS105a,2016-10-04 14:29:00,1420,2009,0.7068193130910901
Broad Street,2016-10-04 14:29:00,621,690,0.9
Others-CCCPS98,2016-10-04 14:29:00,1238,3103,0.39896873992910087
Others-CCCPS8,2016-10-04 14:29:00,793,1322,0.5998487140695915
BHMNCPNST01,2016-10-04 14:29:00,373,485,0.7690721649484537
BHMNCPHST01,2016-10-04 14:29:00,760,1200,0.6333333333333333
BHMBCCTHL01,2016-10-04 14:57:00,307,387,0.7932816537467701
BHMMBMMBX01,2016-10-04 14:57:00,593,687,0.8631732168850073
Others-CCCPS135a,2016-10-04 14:57:00,3011,3883,0.7754313674993562
BHMNCPNST01,2016-10-04 14:57:00,354,485,0.7298969072164948
Shopping,2016-10-04 14:57:00,1381,1920,0.7192708333333333
Others-CCCPS119a,2016-10-04 14:57:00,529,2803,0.18872636460934714
BHMEURBRD01,2016-10-04 14:57:00,426,470,0.9063829787234042
Others-CCCPS105a,2016-10-04 14:57:00,1346,2009,0.6699850671976108
Others-CCCPS98,2016-10-04 14:57:00,1169,3103,0.37673219465033836
Broad Street,2016-10-04 14:57:00,606,690,0.8782608695652174
Others-CCCPS8,2016-10-04 14:57:00,753,1322,0.5695915279878971
BHMNCPHST01,2016-10-04 14:57:00,727,1200,0.6058333333333333
Others-CCCPS202,2016-10-04 14:57:00,1267,2937,0.4313925774599932
BHMBCCMKT01,2016-10-04 14:57:00,192,577,0.3327556325823224
Broad Street,2016-10-04 15:30:00,581,690,0.8420289855072464
BHMBCCTHL01,2016-10-04 15:30:00,294,387,0.7596899224806202
Shopping,2016-10-04 15:30:00,1300,1920,0.6770833333333334
Others-CCCPS105a,2016-10-04 15:30:00,1288,2009,0.6411149825783972
Others-CCCPS98,2016-10-04 15:30:00,1127,3103,0.3631969062197873
Others-CCCPS8,2016-10-04 15:30:00,716,1322,0.5416036308623298
BHMEURBRD01,2016-10-04 15:30:00,411,470,0.874468085106383
BHMNCPNST01,2016-10-04 15:30:00,338,485,0.6969072164948453
BHMMBMMBX01,2016-10-04 15:30:00,572,687,0.8326055312954876
BHMBCCMKT01,2016-10-04 15:30:00,165,577,0.28596187175043325
Others-CCCPS202,2016-10-04 15:30:00,1213,2937,0.41300646918624445
BHMNCPHST01,2016-10-04 15:30:00,678,1200,0.565
Others-CCCPS119a,2016-10-04 15:30:00,511,2803,0.18230467356403854
Others-CCCPS135a,2016-10-04 15:30:00,2839,3883,0.731135719804275
Broad Street,2016-10-04 16:04:00,534,690,0.7739130434782608
BHMNCPNST01,2016-10-04 16:04:00,317,485,0.6536082474226804
BHMBCCTHL01,2016-10-04 16:04:00,270,387,0.6976744186046512
Others-CCCPS202,2016-10-04 16:04:00,1121,2937,0.38168198842356144
Others-CCCPS8,2016-10-04 16:04:00,664,1322,0.5022692889561271
BHMNCPHST01,2016-10-04 16:04:00,648,1200,0.54
BHMMBMMBX01,2016-10-04 16:04:00,511,687,0.7438136826783115
Others-CCCPS119a,2016-10-04 16:04:00,461,2803,0.16446664288262575
BHMBCCMKT01,2016-10-04 16:04:00,162,577,0.2807625649913345
BHMEURBRD01,2016-10-04 16:04:00,376,470,0.8
Others-CCCPS98,2016-10-04 16:04:00,1019,3103,0.32839187882694165
Shopping,2016-10-04 16:04:00,1218,1920,0.634375
Others-CCCPS105a,2016-10-04 16:04:00,1175,2009,0.584868093578895
Others-CCCPS135a,2016-10-04 16:04:00,2656,3883,0.6840072109193922
BHMBCCMKT01,2016-10-04 16:31:00,143,577,0.24783362218370883
Others-CCCPS8,2016-10-04 16:31:00,618,1322,0.46747352496217853
Others-CCCPS202,2016-10-04 16:31:00,1015,2937,0.3455907388491658
Others-CCCPS98,2016-10-04 16:31:00,936,3103,0.30164357073799547
Others-CCCPS105a,2016-10-04 16:31:00,1089,2009,0.5420607267297163
Others-CCCPS135a,2016-10-04 16:31:00,2359,3883,0.6075199587947463
Shopping,2016-10-04 16:31:00,1075,1920,0.5598958333333334
BHMBCCTHL01,2016-10-04 16:31:00,245,387,0.6330749354005168
Others-CCCPS119a,2016-10-04 16:31:00,406,2803,0.1448448091330717
Broad Street,2016-10-04 16:31:00,466,690,0.6753623188405797
BHMMBMMBX01,2016-10-04 16:31:00,471,687,0.6855895196506551
BHMEURBRD01,2016-10-04 16:31:00,325,470,0.6914893617021277
BHMNCPNST01,2016-10-04 16:31:00,304,485,0.6268041237113402
BHMNCPHST01,2016-10-04 16:31:00,565,1200,0.4708333333333333
BHMMBMMBX01,2016-10-05 07:57:00,282,687,0.4104803493449782
Others-CCCPS8,2016-10-05 07:57:00,453,1322,0.3426626323751891
Others-CCCPS119a,2016-10-05 07:57:00,246,2803,0.08776311095255084
Others-CCCPS105a,2016-10-05 07:57:00,735,2009,0.36585365853658536
Shopping,2016-10-05 07:57:00,602,1920,0.31354166666666666
BHMBCCMKT01,2016-10-05 07:57:00,54,577,0.09358752166377816
Others-CCCPS135a,2016-10-05 07:57:00,1104,3883,0.28431625032191604
Others-CCCPS98,2016-10-05 07:57:00,650,3103,0.20947470190138576
BHMBCCTHL01,2016-10-05 07:57:00,146,387,0.3772609819121447
BHMNCPNST01,2016-10-05 07:57:00,268,485,0.5525773195876289
BHMEURBRD01,2016-10-05 07:57:00,127,470,0.2702127659574468
Others-CCCPS202,2016-10-05 07:57:00,594,2937,0.20224719101123595
BHMNCPHST01,2016-10-05 07:57:00,229,1200,0.19083333333333333
Broad Street,2016-10-05 07:57:00,180,690,0.2608695652173913
Others-CCCPS8,2016-10-05 08:30:00,487,1322,0.36838124054462934
BHMNCPHST01,2016-10-05 08:30:00,333,1200,0.2775
Broad Street,2016-10-05 08:30:00,294,690,0.4260869565217391
BHMBCCMKT01,2016-10-05 08:30:00,59,577,0.1022530329289428
Others-CCCPS135a,2016-10-05 08:30:00,1599,3883,0.41179500386299256
BHMBCCTHL01,2016-10-05 08:30:00,169,387,0.43669250645994834
Shopping,2016-10-05 08:30:00,779,1920,0.40572916666666664
Others-CCCPS105a,2016-10-05 08:30:00,817,2009,0.4066699850671976
Others-CCCPS119a,2016-10-05 08:30:00,326,2803,0.11630396004281128
Others-CCCPS98,2016-10-05 08:30:00,760,3103,0.24492426683854335
BHMNCPNST01,2016-10-05 08:30:00,273,485,0.5628865979381443
BHMEURBRD01,2016-10-05 08:30:00,201,470,0.4276595744680851
Others-CCCPS202,2016-10-05 08:30:00,736,2937,0.25059584610146407
BHMMBMMBX01,2016-10-05 08:30:00,330,687,0.48034934497816595
Others-CCCPS98,2016-10-05 09:04:00,896,3103,0.2887528198517564
Others-CCCPS119a,2016-10-05 09:04:00,419,2803,0.14948269711023904
Broad Street,2016-10-05 09:04:00,424,690,0.6144927536231884
BHMNCPNST01,2016-10-05 09:04:00,293,485,0.6041237113402061
Others-CCCPS105a,2016-10-05 09:04:00,949,2009,0.4723743155798905
BHMMBMMBX01,2016-10-05 09:04:00,395,687,0.5749636098981077
Others-CCCPS135a,2016-10-05 09:04:00,2142,3883,0.5516353335050219
Others-CCCPS8,2016-10-05 09:04:00,554,1322,0.41906202723146746
Others-CCCPS202,2016-10-05 09:04:00,928,2937,0.3159686755192373
BHMNCPHST01,2016-10-05 09:04:00,470,1200,0.39166666666666666
Shopping,2016-10-05 09:04:00,975,1920,0.5078125
BHMBCCTHL01,2016-10-05 09:04:00,211,387,0.5452196382428941
BHMBCCMKT01,2016-10-05 09:04:00,71,577,0.12305025996533796
BHMEURBRD01,2016-10-05 09:04:00,283,470,0.6021276595744681
BHMNCPNST01,2016-10-05 09:30:00,317,485,0.6536082474226804
Others-CCCPS105a,2016-10-05 09:30:00,1090,2009,0.5425584868093579
Shopping,2016-10-05 09:30:00,1138,1920,0.5927083333333333
BHMBCCTHL01,2016-10-05 09:30:00,256,387,0.661498708010336
Others-CCCPS202,2016-10-05 09:30:00,1083,2937,0.3687436159346272
Others-CCCPS135a,2016-10-05 09:30:00,2552,3883,0.6572237960339944
BHMEURBRD01,2016-10-05 09:30:00,347,470,0.7382978723404255
BHMBCCMKT01,2016-10-05 09:30:00,83,577,0.1438474870017331
BHMMBMMBX01,2016-10-05 09:30:00,464,687,0.6754002911208151
Others-CCCPS98,2016-10-05 09:30:00,1003,3103,0.323235578472446
BHMNCPHST01,2016-10-05 09:30:00,584,1200,0.4866666666666667
Others-CCCPS8,2016-10-05 09:30:00,626,1322,0.4735249621785174
Others-CCCPS119a,2016-10-05 09:30:00,478,2803,0.1705315733143061
Broad Street,2016-10-05 09:30:00,510,690,0.7391304347826086
BHMNCPNST01,2016-10-05 10:04:00,339,485,0.6989690721649484
Others-CCCPS202,2016-10-05 10:04:00,1221,2937,0.4157303370786517
Others-CCCPS105a,2016-10-05 10:04:00,1246,2009,0.6202090592334495
BHMNCPHST01,2016-10-05 10:04:00,699,1200,0.5825
Others-CCCPS8,2016-10-05 10:04:00,710,1322,0.5370650529500757
Shopping,2016-10-05 10:04:00,1306,1920,0.6802083333333333
Broad Street,2016-10-05 10:04:00,572,690,0.8289855072463768
BHMBCCTHL01,2016-10-05 10:04:00,310,387,0.8010335917312662
BHMMBMMBX01,2016-10-05 10:04:00,536,687,0.7802037845705968
BHMBCCMKT01,2016-10-05 10:04:00,114,577,0.1975736568457539
Others-CCCPS98,2016-10-05 10:04:00,1112,3103,0.35836287463744765
BHMEURBRD01,2016-10-05 10:04:00,383,470,0.8148936170212766
Others-CCCPS135a,2016-10-05 10:04:00,2957,3883,0.7615245943857842
Others-CCCPS119a,2016-10-05 10:04:00,547,2803,0.19514805565465573
BHMEURBRD01,2016-10-05 10:30:00,404,470,0.8595744680851064
Shopping,2016-10-05 10:30:00,1379,1920,0.7182291666666667
Others-CCCPS202,2016-10-05 10:30:00,1288,2937,0.43854273067756216
BHMNCPNST01,2016-10-05 10:30:00,355,485,0.7319587628865979
Others-CCCPS105a,2016-10-05 10:30:00,1339,2009,0.6665007466401195
Others-CCCPS119a,2016-10-05 10:30:00,586,2803,0.20906171958615768
BHMBCCTHL01,2016-10-05 10:30:00,337,387,0.8708010335917312
BHMBCCMKT01,2016-10-05 10:30:00,128,577,0.2218370883882149
Broad Street,2016-10-05 10:30:00,598,690,0.8666666666666667
Others-CCCPS98,2016-10-05 10:30:00,1182,3103,0.3809216886883661
Others-CCCPS8,2016-10-05 10:30:00,761,1322,0.575642965204236
BHMNCPHST01,2016-10-05 10:30:00,736,1200,0.6133333333333333
BHMMBMMBX01,2016-10-05 10:30:00,578,687,0.8413391557496361
Others-CCCPS135a,2016-10-05 10:30:00,3117,3883,0.8027298480556271
BHMMBMMBX01,2016-10-05 11:04:00,619,687,0.901018922852984
Others-CCCPS202,2016-10-05 11:04:00,1330,2937,0.4528430371127
Broad Street,2016-10-05 11:04:00,624,690,0.9043478260869565
BHMNCPHST01,2016-10-05 11:04:00,757,1200,0.6308333333333334
BHMEURBRD01,2016-10-05 11:04:00,420,470,0.8936170212765957
Shopping,2016-10-05 11:04:00,1410,1920,0.734375
BHMNCPNST01,2016-10-05 11:04:00,367,485,0.756701030927835
Others-CCCPS105a,2016-10-05 11:04:00,1411,2009,0.7023394723743156
Others-CCCPS135a,2016-10-05 11:04:00,3177,3883,0.8181818181818182
BHMBCCTHL01,2016-10-05 11:04:00,339,387,0.875968992248062
BHMBCCMKT01,2016-10-05 11:04:00,148,577,0.2564991334488735
Others-CCCPS98,2016-10-05 11:04:00,1250,3103,0.4028359651949726
Others-CCCPS8,2016-10-05 11:04:00,792,1322,0.5990922844175491
Others-CCCPS119a,2016-10-05 11:04:00,603,2803,0.21512665001783804
BHMNCPNST01,2016-10-05 11:30:00,366,485,0.7546391752577319
Others-CCCPS105a,2016-10-05 11:30:00,1436,2009,0.7147834743653559
Others-CCCPS202,2016-10-05 11:30:00,1340,2937,0.45624787197820904
Others-CCCPS98,2016-10-05 11:30:00,1259,3103,0.4057363841443764
Others-CCCPS8,2016-10-05 11:30:00,796,1322,0.6021180030257186
BHMEURBRD01,2016-10-05 11:30:00,429,470,0.9127659574468086
BHMMBMMBX01,2016-10-05 11:30:00,640,687,0.9315866084425036
Broad Street,2016-10-05 11:30:00,634,690,0.9188405797101449
Shopping,2016-10-05 11:30:00,1430,1920,0.7447916666666666
BHMBCCTHL01,2016-10-05 11:30:00,340,387,0.8785529715762274
Others-CCCPS135a,2016-10-05 11:30:00,3194,3883,0.822559876384239
BHMBCCMKT01,2016-10-05 11:30:00,162,577,0.2807625649913345
Others-CCCPS119a,2016-10-05 11:30:00,593,2803,0.21155904388155547
BHMNCPHST01,2016-10-05 11:30:00,774,1200,0.645
BHMEURBRD01,2016-10-05 12:04:00,447,470,0.951063829787234
BHMMBMMBX01,2016-10-05 12:04:00,650,687,0.9461426491994177
Others-CCCPS135a,2016-10-05 12:04:00,3213,3883,0.8274530002575329
BHMNCPNST01,2016-10-05 12:04:00,369,485,0.7608247422680412
Others-CCCPS98,2016-10-05 12:04:00,1264,3103,0.4073477280051563
Others-CCCPS202,2016-10-05 12:04:00,1359,2937,0.4627170582226762
BHMNCPHST01,2016-10-05 12:04:00,779,1200,0.6491666666666667
BHMBCCMKT01,2016-10-05 12:04:00,178,577,0.30849220103986136
Others-CCCPS8,2016-10-05 12:04:00,809,1322,0.6119515885022693
Others-CCCPS119a,2016-10-05 12:04:00,582,2803,0.20763467713164466
Broad Street,2016-10-05 12:04:00,653,690,0.946376811594203
BHMBCCTHL01,2016-10-05 12:04:00,337,387,0.8708010335917312
Shopping,2016-10-05 12:04:00,1446,1920,0.753125
Others-CCCPS105a,2016-10-05 12:04:00,1459,2009,0.726231956197113
BHMNCPNST01,2016-10-05 12:17:00,376,485,0.7752577319587629
Broad Street,2016-10-05 12:30:00,662,690,0.9594202898550724
BHMNCPHST01,2016-10-05 12:30:00,770,1200,0.6416666666666667
Others-CCCPS98,2016-10-05 12:30:00,1278,3103,0.41185949081534
BHMBCCMKT01,2016-10-05 12:30:00,183,577,0.317157712305026
